id,task_type,orig_num_cameras,temporal_level,question,options,answer
cvb-266,Multi-video Temporal Reasoning,4,2,"Based on the interconnections, what is the correct chronological order of the development process of vaccines depicted across the videos?",A. 3-4-1-2. | B. 4-1-2-3. | C. 1-2-3-4. | D. 3-1-4-2.,A
cvb-272,Multi-video Temporal Reasoning,4,2,What is the correct order for making a pot of tea?,A. 3-4-1-2. | B. 4-1-2-3. | C. 4-2-1-3. | D. 3-1-4-2.,C
cvb-274,Multi-video Temporal Reasoning,4,2,"Considering the SDLC cycle, what is the correct video sequence?",A. 3-4-1-2. | B. 4-1-3-2. | C. 1-2-3-4. | D. 4-1-2-3.,B
cvb-275,Multi-video Temporal Reasoning,4,2,"Based on the sequence of construction stages across the videos, which represents the likely progression of the bridge-building project?",A. Video 1 - Video 2 - Video 3 - Video 4. | B. Video 3 - Video 1 - Video 2 - Video 4. | C. Video 3 - Video 2 - Video 1 - Video 4. | D. Video 4 - Video 1- Video 3 - Video 2.,B
cvb-277,Multi-video Temporal Reasoning,4,2,"Based on all the videos, select the following sequence of videos that are most likely to be for space exploration.",A. 3-4-1-2. | B. 4-1-2-3. | C. 1-2-3-4. | D. 4-1-3-2.,B
cvb-278,Multi-video Temporal Reasoning,4,2,Which ordered sequence logically aligns the travel journey depicted across all videos?,A. Train station - Packing - Hotel - Checking weather. | B. Packing - Train station - Checking weather - Hotel. | C. Checking weather - Hotel - Packing - Train station. | D. Checking weather - Packing - Train station - Hotel.,D
cvb-284,Multi-video Temporal Reasoning,4,2,Which is the correct order of videos I should follow if I'm going to decorate my home?,A. 2-4-1-3. | B. 4-1-2-3. | C. 1-2-3-4. | D. 2-1-4-3.,D
cvb-286,Multi-video Temporal Reasoning,4,2,Which is the correct order of videos to follow for a recent graduate?,A. 3-4-1-2. | B. 4-1-2-3. | C. 1-2-3-4. | D. 3-1-2-4.,D
cvb-287,Multi-video Temporal Reasoning,3,2,"For Eva’s life journey, Which video sequence is logically correct?",A. 3-2-1. | B. 2-1-3. | C. 1-2-3. | D. 3-1-2.,B
cvb-291,Multi-video Temporal Reasoning,4,2,Which video sequence best represents the entire repair process?,A. 3-4-1-2. | B. 4-1-2-3. | C. 1-2-3-4. | D. 1-3-2-4.,D
cvb-295,Multi-video Temporal Reasoning,4,2,Which is the correct video order as far as the entire production process is concerned?,A. 3-4-1-2. | B. 2-1-4-3. | C. 1-2-3-4. | D. 3-1-2-4.,D
cvb-298,Multi-video Temporal Reasoning,4,2,"If you were to arrange the videos based on the time of a typical workday, which sequence represents the correct order from morning prep to returning home?",A. 1-4-2-3. | B. 2-4-1-3. | C. 4-1-3-2. | D. 3-4-1-2.,B
cvb-299,Multi-video Temporal Reasoning,3,2,According to the video which is the correct video order for the visa application process?,A. 3-2-1. | B. 2-1-3. | C. 1-2-3. | D. 2-3-1.,B
cvb-303,Multi-video Temporal Reasoning,4,2,Which is the correct video order to follow if grilling a steak for dinner?,A. 2-1-4-3. | B. 4-1-2-3. | C. 1-2-3-4. | D. 2-3-4-1.,A
cvb-304,Multi-video Temporal Reasoning,4,2,Which is the correct video order to follow if repairing an older car?,A. 3-4-1-2. | B. 4-3-2-1. | C. 1-2-3-4. | D. 4-1-3-2.,B
cvb-305,Multi-video Temporal Reasoning,3,2,Which video sequence is correct according to the dental crown procedure?,A. 3-1-2. | B. 1-2-3. | C. 1-3-2. | D. 2-1-3.,C
cvb-322,Cross-video Anomaly Detection,2,1,Which video included moments that deviate from the usual display of auction events?,A. Video 1. | B. Video 2.,B
cvb-330,Cross-video Counterfactual Reasoning,2,1,What might have happened in Video 1 if the man had maintained his balance while fishing?,A. He would have caught a big fish. | B. He would cast the bait farther. | C. He would teach fishing techniques like in Video 2. | D. He would stop fishing immediately.,B
cvb-340,Cross-video Entity Matching,2,1,Which attire is matched across both videos during the noodle-making process?,A. Grey shirt with white apron. | B. Black uniform with striped apron. | C. Light gray sweater with dark patterns. | D. The two sets of clothing are not the same.,D
cvb-362,Cross-video Object Recognition,2,1,Which commonly crafted or artistic item features prominently in both videos during the creative processes?,A. Green marker. | B. Miniature plant. | C. Wooden shelf. | D. Brown cardboard.,B
cvb-363,Multi-video Temporal Reasoning,4,2,"Considering the sequence of events in Videos 1, 3, and 4, which event most likely happens first during a festive gathering?",A. Cooking the potato dish. | B. Pouring red wine. | C. Unwrapping Christmas gifts. | D. Playing games with red envelopes.,A
cvb-364,Cross-video Scene Recognition,4,1,Does every video show elements related to being in transit during a trip?,Yes. | No.,Yes
cvb-370,Multi-video Temporal Reasoning,2,1,Which event occurs last when considering the flow of both videos?,A. Raducanu preparing to serve (Video 2). | B. Player walking toward the net to end the match (Video 1). | C. Rabucanu and Wang in the thick of the rally (Video 2). | D. Player raising her arms in triumph (Video 1).,D
cvb-375,Cross-video Entity Matching,2,2,"In both videos, which sequence is highlighted as a crucial mathematical tool?",A. Parthenon proportions. | B. Fibonacci sequence. | C. Vitruvian man measurements. | D. Golden ratio.,B
cvb-393,Multi-video Key-Action Recognition,4,1,"What key action from the S.T.A.R. method should be employed during an interview, consistent with the advice in Video 1?",A. Start with a strong personal story. | B. Always ask questions about the job. | C. Focus on delivering results promptly. | D. Dress formally without exception.,B
cvb-404,Multi-video Temporal Reasoning,3,1,"Based on the interactions and attire in the videos, what time of year is likely depicted across these urban transportation scenes?",A. Spring. | B. Summer. | C. Fall. | D. Winter.,D
cvb-416,Multi-video Temporal Reasoning,3,2,"Across videos, what might have been the logical sequence of actions taken to ensure health preparedness?",A. Prepare the medication and supplements first. | B. Ensure emergency kits are organized after daily routine setups. | C. Start by organizing home storage and then personal carry items. | D. Finish with preparing home spaces before setting up travel essentials.,B
cvb-418,Cross-video Procedural Transfer,2,1,"Based on the rescue technique in Video 2, what could soldiers in Video 1 learn to enhance safety during water-based activities?",A. Use of flotation devices. | B. Mountain climbing. | C. Rope adjustment. | D. Medical rescue tactics.,A
cvb-427,Multi-video Temporal Reasoning,3,1,"Based on the videos listed, which setup was likely completed first?",A. Creative 'book bedroom'. | B. Organized personal library with three-section bookshelf. | C. Woman's empty bookshelf collection. | D. Finished book arrangement with plush chair.,C
cvb-430,Multi-video Temporal Reasoning,2,2,What is the likely next step in gardening after each video concludes their pruning session?,A. Water the plants. | B. Fertilize the soil. | C. Plan next pruning season. | D. Arrange plants to optimize sunlight exposure.,C
cvb-431,Cross-video Event Retrieval,2,1,Which video contains a scene where the protagonist explores a desert landscape during a sunset?,A. Video 1. | B. Video 2. | B. Both of them. | B. None of them.,A
cvb-434,Cross-video Counterfactual Reasoning,2,2,"If the person in Video 2 had practiced the breathing technique from Video 1 before the run, what might have improved?",A. Vocal pitch modulation. | B. Endurance. | C. Memory. | D. Mental focus.,B
cvb-436,Multi-video Temporal Reasoning,3,2,"Based on the sequence and context, which order accurately reflects the progression of organization from skincare to travel?","A. Video 1, Video 2, Video 3. | B. Video 2, Video 3, Video 1. | C. Video 3, Video 1, Video 2. | D. Video 1, Video 3, Video 2.",C
cvb-447,Cross-video Scene Recognition,2,1,In which video are large glass windows used as a backdrop to showcase greenery during a synchronized dance performance?,A. Video 1 only. | B. Video 2 only. | C. Both Video 1 and Video 2. | D. Neither Video 1 nor Video 2.,C
cvb-453,Cross-video Procedural Transfer,2,1,"Based on the detailed clinical procedural focus, what is the fundamental step in patient preparation common to both videos before a CT scan?",A. Administering a sedative. | B. Checking intravenous lines. | C. Positioning correctly on the table. | D. Removing all metallic objects.,C
cvb-457,Cross-video Counterfactual Reasoning,2,1,"If the Sporting CP defense was as organized as the advanced tactical setups shown in Video 1, what is most likely to happen during the match in Video 2?",A. Arsenal players might fail to score as many goals. | B. Sporting CP would create more scoring opportunities. | C. Sporting CP might lose more goals | D. Arsenal players dare not attack.,A
cvb-471,Cross-video Scene Recognition,2,1,Do both videos capture moments where the players line up for pre-match handshakes?,Yes. | No.,No
cvb-479,Cross-video Scene Recognition,4,1,Is Video 2 the only instance capturing a critical event compared to moments of organized traffic in other videos?,Yes. | No.,Yes
cvb-486,Cross-video Anomaly Detection,4,1,Which video showed abnormal luggage damage during transmission?,A. Video 1. | B. Video 2. | C. Video 3. | D. Video 4.,D
cvb-490,Multi-video Temporal Reasoning,3,2,"If the progression of technological focus starts from hardware, moves through software, and ends at ergonomic integration, in which order do the videos align?",A. Video 1 -> Video 2 -> Video 3. | B. Video 2 -> Video 3 -> Video 1. | C. Video 3 -> Video 1 -> Video 2. | D. Video 1 -> Video 3 -> Video 2.,A
cvb-498,Cross-video Object Recognition,4,1,What object is used in all videos to hold the wax during the crafting process?,A. Metal tray. | B. Silicone mold. | C. Glass container. | D. Plastic mold.,D
cvb-505,Multi-video Temporal Reasoning,3,2,"Based on the videos listed, what is the correct sequence of actions for resume optimization?",A. Discussing resume tips - avoiding outdated templates - formatting resumes. | B. Formatting resumes - discussing resume tips - avoiding outdated templates. | C. Avoiding outdated templates - formatting resumes - discussing resume tips. | D. Discussing resume tips - formatting resumes - avoiding outdated templates.,A
cvb-533,Cross-video Event Retrieval,3,1,Which video provides a tutorial on first aid for burns?,A. Video 1. | B. Video 2. | C. Video 3. | D. None of the above.,B
cvb-546,Multi-video Key-Action Recognition,2,1,What key action does the driver perform consistently across both videos during the driving demonstration?,A. Adjusting the rearview mirror frequently. | B. Engaging in precise pedal movements and gear shifts. | C. Using hand gestures toward the passenger. | D. Reversing the car through a narrow lane.,B
cvb-568,Multi-video Temporal Reasoning,4,2,In what order would you progress through the house based on the videos?,A. Video 1 → Video 4 → Video 3 → Video 2. | B. Video 3 → Video 1 → Video 4 → Video 2. | C. Video 1 → Video 2 → Video 3 → Video 4. | D. Video 2 → Video 4 → Video 3 → Video 1.,B
cvb-574,Multi-view Scene Understanding,4,1,What happened after the video was connected?,A. Robbery and chasing. | B. Playing and joking. | C. Vehicle accident. | D. None of above.,A
cvb-580,Cross-video Event Retrieval,2,1,In which video is there a moment of potential confrontation or interaction between individuals?,A. Video 1. | B. First part of Video 2. | C. Second part of Video 2. | D. None of the videos.,C
cvb-584,Multi-video Temporal Reasoning,4,2,"If these videos are arranged based on the order of events, what would the order be?",A. 1-3-4-2. | B. 4-3-1-2. | C. 3-1-4-2. | D. 2-4-1-3.,B
cvb-585,Joint-video Spatial Navigating,4,1,"If standing in the upper right corner of the house after entering the door, how would one reach the display counter visible on the far side?",A. Head straight to the left and follow the racks around to the counter. | B. Move diagonally left toward the display counter. | C. Walk straight into the racks and then veer to the right toward the counter. | D. Move directly forward through the shelves to reach the counter.,B
cvb-623,Cross-video Entity Matching,4,1,Which entity appears consistently in multiple videos and engages viewers conversationally while discussing laundry?,"A. A child dressed in pajamas. | B. Brittany, the English teacher. | C. A woman in black attire. | D. A person holding a globe.",B
cvb-651,Cross-video Event Retrieval,4,1,Which video captures her first outdoor interaction and connects her preparation for work with city life?,A. Video 1. | B. Video 2. | C. Video 3. | D. Video 4.,D
cvb-660,Multi-video Temporal Reasoning,2,2,What sequence of actions is logically portrayed across both videos?,A. Entering the room - engaging in conversation - standing respectfully - receiving feedback. | B. Engaging in conversation - standing respectfully - entering the room - receiving feedback. | C. Entering the room - standing respectfully - engaging in conversation - receiving feedback. | D. Engaging in conversation - entering the room - standing respectfully - receiving feedback.,A
cvb-669,Multi-video Temporal Reasoning,3,2,"Based on the videos listed, what is the next likely task after cleaning the kitchen?",A. Organizing the living room. | B. Preparing a meal. | C. Cleaning the bathroom. | D. Taking a break.,C
cvb-695,Multi-view Scene Understanding,2,2,What is the logical sequence of events across the two videos?,A. Remove damaged protector - clean screen - apply new protector. | B. Clean screen - remove damaged protector - apply new protector. | C. Apply new protector - remove damaged protector - clean screen. | D. Clean screen - apply new protector - remove damaged protector.,A
cvb-721,Multi-video Temporal Reasoning,3,2,"Based on the videos listed, what is the next logical step after dough preparation?",A. Baking the bread | B. Shaping the dough | C. Fermentation | D. Cooling the bread,C
cvb-723,Multi-video Temporal Reasoning,4,2,"Based on the videos listed, what is the likely sequence of events for setting up a tent?",A. Unroll tent - secure stakes - adjust fabric. | B. Secure stakes - unroll tent - adjust fabric. | C. Adjust fabric - unroll tent - secure stakes. | D. Unroll tent - adjust fabric - secure stakes.,A
cvb-743,Cross-video Entity Matching,2,1,"Which figure appears in both videos, symbolizing progress and development?",A. A bird in flight. | B. Healthcare workers. | C. Gradually increasing number of buildings. | D. Persons in military attire.,C
cvb-757,Multi-video Temporal Reasoning,2,2,"Based on the sequence of events in the videos, what is the likely order of scenes involving animals and people?",A. Dog playing - Women participating in interview - Dog in hospital. | B. Women participating in interview - Dog in hospital - Dog playing. | C. Dog playing - Dog in hospital - Women participating in interview. | D. Women participating in interview - Dog playing - Dog in hospital.,C
cvb-761,Multi-video Temporal Reasoning,2,2,"Based on the videos, what is the most likely next step after using a smartphone?",A. Sleeping. | B. Socializing. | C. Exercising. | D. Eating.,A
cvb-771,Multi-video Temporal Reasoning,2,2,"Based on the videos, what is the likely sequence of events regarding the smartphone issue?",A. Phone catches fire - News report - Family discussion. | B. News report - Phone catches fire - Family discussion. | C. Family discussion - Phone catches fire - News report. | D. Phone catches fire - Family discussion - News report.,D
cvb-774,Cross-video Procedural Transfer,2,2,"Based on the medical advice in Video 1, what should be done before following the social tips in Video 2?",A. Take antacids. | B. Drink on an empty stomach. | C. Avoid alcohol completely. | D. Use humorous overlays.,A
cvb-781,Cross-video Counterfactual Reasoning,2,2,"If the hairdryer in Video 1 had been regularly maintained before the short circuit occurred, and the vintage hairdryer in Video 2 had been neglected for its durability, which of the following would be least likely to happen?",A. The short circuit and fire incident in Video 1 would be avoided. | B. The vintage hairdryer in Video 2 would deteriorate faster due to lack of maintenance. | C. Users would pay more attention to the design flaws of modern hairdryers. | D. The technical analysis in Video 2 would lose its focus on the vintage hairdryer.,C
cvb-784,Cross-video Counterfactual Reasoning,2,2,"If the two vehicles promptly moved to the roadside after the rear-end collision, what would not have happened?",A. The young woman's health condition would have deteriorated. | B. The medical team's emergency response would have decreased. | C. The company's work efficiency would have declined. | D. The tragic incident would have been avoided.,D
cvb-785,Multi-video Temporal Reasoning,2,2,"Based on the videos, what is the likely sequence of events in terms of addressing safety issues?",A. Medical consultation - Traffic incident discussion. | B. Traffic incident discussion - Medical consultation. | C. Insurance advice - Medical emergency. | D. Workplace safety briefing - Traffic safety briefing.,A
cvb-788,Joint-video Summarization,3,1,Summarize the progression of activities across the three videos.,A. From relaxation to strength to high-energy workout. | B. From high-energy workout to relaxation to strength. | C. From strength to relaxation to high-energy workout. | D. From high-energy workout to strength to relaxation.,A
cvb-792,Multi-video Temporal Reasoning,2,2,"Based on the videos, what is the logical sequence of actions for addressing skin sensitivity?","A. Consult a dermatologist, understand ingredients, tailor skincare routine. | B. Tailor skincare routine, understand ingredients, consult a dermatologist. | C. Understand ingredients, consult a dermatologist, tailor skincare routine. | D. Tailor skincare routine, consult a dermatologist, understand ingredients.",C
cvb-806,Multi-video Temporal Reasoning,2,2,"Based on the content of the two videos, which sequence of events best aligns with the actual cooking and fire safety process?",A. Video 1 starts preparing ingredients → Video 2 demonstrates oil fires → Video 1 completes frying. | B. Video 2 demonstrates oil fires → Video 1 starts preparing ingredients → Video 1 completes frying. | C. Video 1 completes frying → Video 2 demonstrates oil fires → Video 1 restarts preparing ingredients. | D. Video 1 starts preparing ingredients → Video 1 completes frying → Video 2 demonstrates oil fires.,D
cvb-807,Multi-video Temporal Reasoning,2,2,"Based on the videos listed, what is the correct sequence of events involving oil?",A. Frying snacks - Oil fire demonstration. | B. Oil fire demonstration - Frying snacks. | C. Cooking vegetables - Oil fire demonstration. | D. Oil fire demonstration - Cooking vegetables.,A
cvb-838,Cross-video Counterfactual Reasoning,2,2,"If the car in Video 1 had applied emergency braking before the collision, which of the following outcomes is most likely?","A. The car would still have rolled over, but the collision speed would have been reduced. | B. The car would not have rolled over and would have completely avoided the collision. | C. The car would not have caught fire after rolling over. | D. Objects inside the car would have fallen out.",A
cvb-844,Multi-video Temporal Reasoning,2,2,"Considering the order of garment production to retail strategies, what progression accurately aligns the videos?",A. Production occurs before retail strategy. | B. Retail strategy occurs before production. | C. Both occur simultaneously. | D. Production and sale are unrelated.,A
cvb-850,Cross-video Counterfactual Reasoning,2,1,"If enhanced security measures were implemented earlier, what event in Video 2 might have been prevented?",A. Boarding delays. | B. Stowaway incident. | C. Randomized security checks. | D. Interviews with officials.,B
cvb-857,Multi-video Temporal Reasoning,4,2,"Based on the content of the four videos, which one is in the correct order?",A. 1-2-3-4. | B. 2-1-4-3. | C. 3-2-4-1. | D. 4-3-2-1.,C
cvb-867,Multi-video Temporal Reasoning,2,2,"If the accident vehicle in Video 1 and Video 2 is the same one, then which one is more likely to occur first, the tunnel accident in Video 1 or the parking lot scratch accident in Video 2?",A. The tunnel accident happened before the parking lot accident. | B. The tunnel accident happened after the parking lot accident. | C. Both accidents happened at the same time. | D. The order of the accidents cannot be determined.,B
cvb-888,Joint-video Spatial Navigating,3,2,"After the fully automatic system integration of Video 3, which physical connection area between the two videos is most likely to be replaced?",A. Between the assembly area of Video 1 and the packaging area of Video 2. | B. Between the packaging area of Video 2 and the filling area of Video 3. | C. The transition zone between the internal assembly stages in Video 1. | D. Between the filling area and the external transportation area in Video 3.,A
cvb-895,Joint-video Spatial Navigating,2,1,"After entering the bedroom, where is the dressing table located?",A. Immediately to the left of the door. | B. Immediately to the right of the door. | C. Directly across from the bedroom door. | D. In the far-left corner of the bedroom.,B
cvb-904,Multi-video Temporal Reasoning,4,2,"Considering the sequence of events in the videos, what logical action concludes these chemical experiments?",A. Setting up the equipment. | B. Releasing the chemicals. | C. Cleaning the equipment. | D. Operate glassware.,D
cvb-907,Joint-video Spatial Navigating,4,1,"After entering the store, how can you get a can of Pepsi?","A. Turn left, then check the shelf behind the front counter. | B. Go straight, then right-front to the fridge on the white cabinet. | C. Walk back, then turn right near the snack and candy display. | D. Head upstairs, then look beside the vending machine on the left.",B
cvb-934,Multi-video Key-Action Recognition,3,1,What key action is common between the theme in the first and second videos?,A. Protect elephants. | B. Collecting and sorting ivory. | C. Nurturing elephants. | D. Training elephants for labor.,A
cvb-938,Multi-video Temporal Reasoning,2,2,"Based on the descriptions of the videos, which sequence demonstrates the progression from raw material to consumer-ready goods?",A. Video 1 - Video 2. | B. Video 2 - Video 1. | C. Video 1 only. | D. Video 2 only.,A
cvb-942,Multi-video Temporal Reasoning,2,2,What is the correct sequence of events from production to consumer in the videos?,A. Consumer purchase - Farm handling - Policy Discussion. | B. Farm handling - Consumer purchase - Policy Discussion. | C. Consumer purchase - Policy Discussion - Farm handling. | D. Farm handling - Policy Discussion - Consumer purchase.,B
cvb-947,Cross-video Scene Recognition,2,1,"In both videos, a specific item of clothing is frequently used during investigations. Which item is it?",A. Sneakers. | B. Jeans. | C. Lab coat. | D. Gloves.,D
